run-id,use_vernalisation_fix,sowing-date,harvest-date,crop-id,sim.json,crop.json,site.json,incl_hist,climate_path_to_latlon_file,climate_path_to_csvs,gcm,rcm,scenario,ensmem,version,start_date,end_date,groundwater-level,impenetrable-layer,elevation,slope,latitude,landcover,fertilization,NitrogenResponseOn,irrigation,WaterDeficitResponseOn,EmergenceMoistureControlOn,EmergenceFloodingControlOn,LeafExtensionModifier,CO2,O3,FieldConditionModifier,StageTemperatureSum,comment,region_name,species_param_name,cultivar_param_name,param_value,param_index_in_array,coeff
1,True,fixed,auto,WW_sfix_hauto,sim.json,crop_replace.json,site.json,False,czechglobe,czechglobe/hist_csv_1961-01-01_to_2023-01-01,,,,,,2017-01-01,2022-12-31,False,False,True,True,True,False,True,True,False,True,False,False,False,,,1,148_284_335_180_274_25,historic_runs,,,,,,
2,True,fixed,auto,WR_sfix_hauto,sim.json,crop_replace.json,site.json,False,czechglobe,czechglobe/hist_csv_1961-01-01_to_2023-01-01,,,,,,2017-01-01,2022-12-31,False,False,True,True,True,False,True,True,False,True,False,False,False,,,1,148_284_335_180_274_25,historic_runs,,,,,,
3,True,fixed,auto,SB_sfix_hauto,sim.json,crop_replace.json,site.json,False,czechglobe,czechglobe/hist_csv_1961-01-01_to_2023-01-01,,,,,,2017-01-01,2022-12-31,False,False,True,True,True,False,True,True,False,True,False,False,False,,,1,148_284_335_180_274_25,historic_runs,,,,,,
4,True,fixed,auto,WRa_sfix_hauto,sim.json,crop_replace.json,site.json,False,czechglobe,czechglobe/hist_csv_1961-01-01_to_2023-01-01,,,,,,2017-01-01,2022-12-31,False,False,True,True,True,False,True,True,False,True,False,False,False,,,1,148_284_335_180_274_25,historic_runs,,,,,,
5,True,fixed,auto,SM_sfix_hauto,sim.json,crop_replace.json,site.json,False,czechglobe,czechglobe/hist_csv_1961-01-01_to_2023-01-01,,,,,,2017-01-01,2022-12-31,False,False,True,True,True,False,True,True,False,True,False,False,False,,,1,148_284_335_180_274_25,historic_runs,,,,,,
6,True,fixed,auto,SU_sfix_hauto,sim.json,crop_replace.json,site.json,False,czechglobe,czechglobe/hist_csv_1961-01-01_to_2023-01-01,,,,,,2017-01-01,2022-12-31,False,False,True,True,True,False,True,True,False,True,False,False,False,,,1,148_284_335_180_274_25,historic_runs,,,,,,
7,True,fixed,auto,OA_sfix_hauto,sim.json,crop_replace.json,site.json,False,czechglobe,czechglobe/hist_csv_1961-01-01_to_2023-01-01,,,,,,2017-01-01,2022-12-31,False,False,True,True,True,False,True,True,False,True,False,False,False,,,1,148_284_335_180_274_25,historic_runs,,,,,,
8,True,fixed,auto,SW_sfix_hauto,sim.json,crop_replace.json,site.json,False,czechglobe,czechglobe/hist_csv_1961-01-01_to_2023-01-01,,,,,,2017-01-01,2022-12-31,False,False,True,True,True,False,True,True,False,True,False,False,False,,,1,148_284_335_180_274_25,historic_runs,,,,,,
9,True,fixed,auto,TRI_sfix_hauto,sim.json,crop_replace.json,site.json,False,czechglobe,czechglobe/hist_csv_1961-01-01_to_2023-01-01,,,,,,2017-01-01,2022-12-31,False,False,True,True,True,False,True,True,False,True,False,False,False,,,1,148_284_335_180_274_25,historic_runs,,,,,,
10,True,fixed,auto,PO_sfix_hauto,sim.json,crop_replace.json,site.json,False,czechglobe,czechglobe/hist_csv_1961-01-01_to_2023-01-01,,,,,,2017-01-01,2022-12-31,False,False,True,True,True,False,True,True,False,True,False,False,False,,,1,148_284_335_180_274_25,historic_runs,,,,,,
11,True,fixed,auto,WB_sfix_hauto,sim.json,crop_replace.json,site.json,False,czechglobe,czechglobe/hist_csv_1961-01-01_to_2023-01-01,,,,,,2017-01-01,2022-12-31,False,False,True,True,True,False,True,True,False,True,False,False,False,,,1,148_284_335_180_274_25,historic_runs,,,,,,
